"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Record Type"
"Arteagas Food Ctr","","","2103 Scott Blvd","Santa Clara","CA","95050","C","","","","71-004-1231","1 to 4","$500,000-1 Million","(408) 982-3453","531104","Retail Shops","531104","Retail Shops","Verified"
"Arteagas Food Svc","Alonzo","Lopez","1003 Lincoln Ave","San Jose","CA","95125","A","Male","Owner","4088820116","18-113-8496","20 to 49","$5-10 Million","(408) 882-0117","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Atlantis Food Svc","Anton","Haddad","30470 Whipple Rd","Union City","CA","94587","A","Male","Owner","5104411581","39-347-7617","10 to 19","$20-50 Million","(510) 441-7441","514105","Grocers-Wholesale","514105","Grocers-Wholesale","Verified"
"Aytm Ask Your Target Market","Lev","Mazin","123 10th St","San Francisco","CA","94103","C+","Male","CEO","","42-567-3724","1 to 4","$500,000-1 Million","(415) 364-8601","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Azteca Market","","","2995 Jefferson St","Napa","CA","94558","B+","","","","70-500-3828","10 to 19","$2.5-5 Million","(707) 266-1333","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Barragan Inc","Saul","Barragan","1519 S Claremont St","San Mateo","CA","94402","B+","Male","Owner","","43-602-1115","10 to 19","$2.5-5 Million","(650) 286-1914","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Berry's Market","Margie","Johnson","5290 Aero Dr","Santa Rosa","CA","95403","B+","Female","Manager","","69-752-3892","10 to 19","$2.5-5 Million","(707) 571-7887","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Best Buy","Skylar","Hartman","3090 Stevens Creek Blvd","San Jose","CA","95128","A+","Male","Manager","","24-879-2830","100 to 249","$20-50 Million","(408) 241-6040","573117","Electronic Equipment & Supplies-Retail","573117","Electronic Equipment & Supplies-Retail","Verified"
"BEVMO!","Lesli","Gonzales","5171 Mowry Ave","Fremont","CA","94538","A","Female","Site Manager","5107458556","26-870-7122","10 to 19","$5-10 Million","(510) 745-8556","592102","Liquors-Retail","592102","Liquors-Retail","Verified"
"BEVMO!","Ken","Fairbanks","1220 Fitzgerald Dr","Pinole","CA","94564","A","Male","Manager","5106691555","36-508-7774","10 to 19","$5-10 Million","(510) 669-1331","592102","Liquors-Retail","592102","Liquors-Retail","Verified"
"Bi-Rite Market","Sam","Mogannam","3639 18th St","San Francisco","CA","94110","A","Male","Owner","4152419870","96-769-3847","100 to 249","$5-10 Million","(415) 241-9760","581208","Restaurants","581208","Restaurants","Verified"
"Bi-Rite Market Divisadero","Anne","Walker","550 Divisadero St","San Francisco","CA","94117","A","Female","Owner","","42-538-1378","100 to 249","$20-50 Million","(415) 551-7900","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Bianchini's Market","Kevin","Bianchini","3130 Alpine Rd # 415","Portola Valley","CA","94028","A","Male","Owner","6508518097","52-095-4801","20 to 49","$5-10 Million","(650) 851-4391","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Bianchini's Market","Chris","Bianchini","810 Laurel St","San Carlos","CA","94070","A","Male","Owner","6505920976","10-198-1744","20 to 49","$5-10 Million","(650) 592-4701","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Big John's Market","John","Lloyd","1345 Healdsburg Ave","Healdsburg","CA","95448","A","Male","Owner","7074335681","10-417-4982","20 to 49","$10-20 Million","(707) 433-7151","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Big Lots","Debbie","Cusham","1832 Hillsdale Ave # 1","San Jose","CA","95124","A+","Female","Site Manager","4082678566","49-073-3680","20 to 49","$5-10 Million","(408) 267-7283","533101","Variety Stores","533101","Variety Stores","Verified"
"Big Lots","","","3735 El Camino Real # 1","Santa Clara","CA","95051","A+","","","4082470747","98-101-1323","20 to 49","$10-20 Million","(408) 247-0389","533101","Variety Stores","533101","Variety Stores","Verified"
"Bill Market","Dan","Cunningham","1102 Tubbs Ln","Calistoga","CA","94515","B+","Male","Owner","","43-275-1572","10 to 19","$2.5-5 Million","(707) 942-8999","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Bolinas People's Store","Claire","Heart","14 Wharf Rd","Bolinas","CA","94924","A","Female","Manager","4158681219","10-306-8029","10 to 19","$2.5-5 Million","(415) 868-1433","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Bonfare Market","","","650 Central Ave # H","Alameda","CA","94501","A","","","","42-322-8203","5 to 9","$1-2.5 Million","(510) 263-0272","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Bonfare Markets Inc","Jag","Kapoor","461 S Milpitas Blvd # 1","Milpitas","CA","95035","A+","Male","CEO","4089334545","49-270-5421","10 to 19","","(408) 874-8600","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Bonfare Markets Inc","Jag","Kapoor","461 S Milpitas Blvd # 1","Milpitas","CA","95035","A+","Male","CEO","4089334545","83-445-9588","20 to 49","","(408) 874-8600","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Broadway Market","Ron","Rodgers","20511 Broadway","Sonoma","CA","95476","A","Male","Owner","","45-378-1171","20 to 49","$5-10 Million","(707) 938-2685","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Browns Valley Meat","Larry","Giovannoni","3263 Browns Valley Rd","Napa","CA","94558","A","Male","Owner","","71-580-2112","50 to 99","$5-10 Million","(707) 253-1873","542107","Meat-Retail","542107","Meat-Retail","Verified"
"Bryan's Grocery","Peter","Flannery","3445 California St","San Francisco","CA","94118","A","Male","Owner","","10-240-8820","20 to 49","$10-20 Million","(415) 752-0179","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"C & H Development","","","1380 Holiday Ln","Fairfield","CA","94534","B","","","","39-334-1995","1 to 4","$500,000-1 Million","(707) 399-9212","531104","Retail Shops","531104","Retail Shops","Verified"
"C J United Food Corp","Cathy","Leec","105 Jackson St","Oakland","CA","94607","A","Female","Owner","5106635420","97-269-8559","10 to 19","$10-20 Million","(510) 834-3468","514101","Food Products (Whls)","514101","Food Products (Whls)","Verified"
"Cal Mart","William","Shaw","1491 Lincoln Ave","Calistoga","CA","94515","A","Male","Owner","7079420812","40-134-9290","50 to 99","$10-20 Million","(707) 942-6271","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"California Farmers Mkt Assoc","Doug","Hayden","3000 Citrus Cir # 111","Walnut Creek","CA","94598","B+","Male","President","","25-123-1106","5 to 9","$1-2.5 Million","(925) 465-4690","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Canaan","","","3817 International Blvd","Oakland","CA","94601","C","","","","74-086-8852","1 to 4","Less Than $500,000","(510) 479-3541","531104","Retail Shops","531104","Retail Shops","Verified"
"Capital Car Wash","Wilbert","Coret","2701 Story Rd","San Jose","CA","95127","A","Male","Manager","4089266200","49-073-5412","50 to 99","$2.5-5 Million","(408) 926-6200","754201","Car Washing & Polishing","754201","Car Washing & Polishing","Verified"
"Cardenas Market","Manuel","Cardena","1731 E Bayshore Rd","East Palo Alto","CA","94303","A","Male","Owner","","42-738-2141","50 to 99","$10-20 Million","(650) 248-2171","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","","","727 1st St","Gilroy","CA","95020","B+","","","","74-203-2382","50 to 99","$10-20 Million","(408) 493-0113","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","Robert","Esquivel","20812 Hesperian Blvd","Hayward","CA","94541","A","Male","Director","","64-971-2494","10 to 19","$2.5-5 Million","(510) 300-0160","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","Manny","Hernandez","1630 High St","Oakland","CA","94601","A","Male","Director","","42-563-2803","100 to 249","$50-100 Million","(510) 532-2654","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","","","2100 Railroad Ave","Pittsburg","CA","94565","A","","","","40-239-4557","50 to 99","$10-20 Million","(925) 427-1697","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","Carlos","Mejia","1070 S White Rd","San Jose","CA","95127","A","Male","Director","","40-476-8075","50 to 99","$10-20 Million","(408) 856-6461","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","Juvenal","Chavez","1745 Story Rd","San Jose","CA","95122","A+","Male","CEO","4089281172","46-931-1690","100 to 249","$20-50 Million","(408) 259-3421","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","","","320 N Capitol Ave","San Jose","CA","95133","B+","","","","74-170-0662","50 to 99","$10-20 Million","(408) 240-0590","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","Martin","Reyes","330 Bellam Blvd","San Rafael","CA","94901","A+","Male","Director","","41-530-2568","100 to 249","$50-100 Million","(415) 578-3971","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Cardenas Market","","","2107 Solano Ave","Vallejo","CA","94590","B+","","","","74-210-2857","50 to 99","$20-50 Million","(707) 515-7995","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Casa Del Mole","Hernando","Teraz","434 Center St","Healdsburg","CA","95448","B+","Male","Manager","7074333744","10-417-7027","5 to 9","$1-2.5 Million","(707) 433-4138","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Casa Lucas","Humberto","Felix","4555 Mission St","San Francisco","CA","94112","A","Male","Owner","4153340850","83-344-0274","20 to 49","$5-10 Million","(415) 334-9747","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Casa Lucas Market","Arturo","Felix","2934 24th St","San Francisco","CA","94110","A","Male","Owner","4158267985","10-248-6461","20 to 49","$5-10 Million","(415) 826-4334","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chapparral Supermarket","Fatyma","Carracana","1001 E Santa Clara St","San Jose","CA","95116","B+","Male","Owner","4089983206","53-635-4772","10 to 19","$2.5-5 Million","(408) 998-8028","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket","David","Chavez","3282 Middlefield Rd","Menlo Park","CA","94025","A","Male","Owner","6503653162","30-134-4420","10 to 19","$2.5-5 Million","(650) 365-6510","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket","Juan","Arteaga","46 5th Ave","Redwood City","CA","94063","A","Male","General Mgr","","60-438-3562","20 to 49","$10-20 Million","(650) 701-1801","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket","David","Chavez","775 Arguello St","Redwood City","CA","94063","A","Male","Owner","6503671108","10-194-8883","20 to 49","$5-10 Million","(650) 367-8819","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket","David","Chavez","646 Blossom Hill Rd","San Jose","CA","95123","A","Male","Owner","","40-383-6543","50 to 99","$10-20 Million","(408) 226-1452","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket","","","500 S Norfolk St","San Mateo","CA","94401","B+","","","","71-575-0197","5 to 9","$500,000-1 Million","(650) 781-3950","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket","David","Chavez","666 N Fair Oaks Ave","Sunnyvale","CA","94085","A","Male","Owner","4087362764","10-201-5526","20 to 49","$10-20 Million","(408) 736-3793","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket & Taqueria","Beto","Chavez","1157 W Tennyson Rd","Hayward","CA","94544","A","Male","Manager","5107834209","96-115-4861","50 to 99","$10-20 Million","(510) 783-4052","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chavez Supermarket-Sn Jose","Beto","Chavez","2327 Mckee Rd","San Jose","CA","95116","A","Male","HR Executive","4089291023","26-686-0360","50 to 99","$10-20 Million","(408) 929-5208","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chef'Store","Steve","Bierman","400 Oak St","Oakland","CA","94607","B+","Male","Manager","","65-346-6961","10 to 19","$2.5-5 Million","(510) 251-9345","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chef'Store","Zarate","Gutierrez","170 S Van Ness Ave","San Francisco","CA","94103","A","Male","Manager","4158369297","73-598-8259","10 to 19","$2.5-5 Million","(415) 864-8284","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chef'Store","Ben","Wiseman","565 Barham Ave","Santa Rosa","CA","95404","A","Male","Manager","7075435949","59-557-5549","20 to 49","$5-10 Million","(707) 543-5844","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Chicago Sweetners Of Ca Inc","W Craig","Jarrard","23575 Cabot Blvd # 209","Hayward","CA","94545","A","Male","Operation Exec","","60-749-8193","10 to 19","$20-50 Million","(510) 732-6682","514101","Food Products (Whls)","514101","Food Products (Whls)","Verified"
"Circle K 76","Ben","Lapithe","15199 Washington Ave","San Leandro","CA","94579","A","Male","Site Manager","","83-381-9352","5 to 9","$1-2.5 Million","(510) 483-6826","541103","Convenience Stores","541103","Convenience Stores","Verified"
"College Market","Darryl","Wheeler","15 Angwin Plz","Angwin","CA","94508","A","Male","Manager","7079656698","46-795-9375","20 to 49","$10-20 Million","(707) 965-6321","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Columbus Manufacturing Inc","Timothy","Fallon","30977 San Antonio St","Hayward","CA","94544","A+","Male","President","5108878323","36-617-6626","50 to 99","","(510) 921-3400","731908","Distribution Services","731908","Distribution Services","Verified"
"Community Foods Market IGA","","","3105 San Pablo Ave","Oakland","CA","94608","B+","","","","73-764-2437","20 to 49","$5-10 Million","(510) 285-6985","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Community Market Natural Food","Melissa","Minton","1899 Mendocino Ave","Santa Rosa","CA","95401","A","Female","Manager","7075466555","30-192-4817","20 to 49","$2.5-5 Million","(707) 546-1806","549901","Health & Diet Foods-Retail","549901","Health & Diet Foods-Retail","Verified"
"Concorde Grocery Outlet","Ravi","Dionio","1840 Willow Pass Rd","Concord","CA","94520","A","Male","Manager","","40-314-5004","20 to 49","$5-10 Million","(925) 363-3421","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Contreras Market","Rigoberto","Contreras","861 Rincon Ave","Livermore","CA","94551","B+","Male","President","","21-146-4201","5 to 9","$1-2.5 Million","(925) 960-0508","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Core-Mark International Inc","J Michael","Walsh","395 Oyster Point Blvd # 415","South San Francisco","CA","94080","A+","Male","CEO","6509524284","23-017-9632","100 to 249","","(650) 589-9445","514999","Groceries & Related Products NEC (Whls)","514999","Groceries & Related Products NEC (Whls)","Verified"
"Costco Business Ctr","","","22330 Hathaway Ave","Hayward","CA","94541","B+","","","","53-230-7345","5 to 9","$500,000-1 Million","(510) 259-6600","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Business Ctr","John","Zenezia","900 Dubuque Ave","South San Francisco","CA","94080","A","Male","Manager","","72-637-1961","100 to 249","$20-50 Million","(650) 784-4047","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Business Ctr","","","2376 S Evergreen Loop","San Jose","CA","95122","A+","","","","75-306-1151","20 to 49","","(669) 236-4679","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Art","Salas","2201 Verne Roberts Cir","Antioch","CA","94509","A+","Male","Vice President","9257571980","48-491-9295","100 to 249","$20-50 Million","(925) 757-7130","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
"Costco Wholesale","Victor","Curtis","2400 Monument Blvd","Concord","CA","94520","A+","Male","Senior VP","9255664031","73-441-2952","250 to 499","$50-100 Million","(925) 566-4003","531110","Wholesale Clubs","531110","Wholesale Clubs","Verified"
